Startup-Time:    0.000000
timestamp, pos_x, pos_y, pos_z, vel_x, vel_y, acc_x, acc_y, acc_z, att_force_x, att_force_y, att_force_z, member_force_x, member_force_y, member_force_z, rep_force_x, rep_force_y, rep_force_z
   6.756932,   1280,  -1280,  12032,     5.0000,    -5.0000,     0.0000, 43787.4219, -36119.8438,     0.0000,     0.0000,     0.0000,     0.0000, 21808.9590, -18142.4844,     0.0000,     0.0000,     0.0000,     0.0000
   6.819460,   1280,  -1280,  12032,     5.0000,    -5.0000,     0.0000, 43787.4219, -36119.8438,     0.0000,     0.0000,     0.0000,     0.0000, 21808.9590, -18142.4844,     0.0000,     0.0000,     0.0000,     0.0000
   6.881988,   1280,  -1280,  12032,     5.0000,    -5.0000,     0.0000, 43787.4219, -36119.8438,     0.0000,     0.0000,     0.0000,     0.0000, 21808.9590, -18142.4844,     0.0000,     0.0000,     0.0000,     0.0000
   6.944516,   1280,  -1280,  12032,     5.0000,    -5.0000,     0.0000, 43787.4219, -36119.8438,     0.0000,     0.0000,     0.0000,     0.0000, 21808.9590, -18142.4844,     0.0000,     0.0000,     0.0000,     0.0000
   7.007044,   1280,  -1280,  12032,     5.0000,    -5.0000,     0.0000, 43787.4219, -36119.8438,     0.0000,     0.0000,     0.0000,     0.0000, 21808.9590, -18142.4844,     0.0000,     0.0000,     0.0000,     0.0000
   7.069572,   1280,  -1280,  12032,     5.0000,    -5.0000,     0.0000, 43787.4219, -36119.8438,     0.0000,     0.0000,     0.0000,     0.0000, 21808.9590, -18142.4844,     0.0000,     0.0000,     0.0000,     0.0000
   7.132100,   1280,  -1280,  12032,     5.0000,    -5.0000,     0.0000, 43787.4219, -36119.8438,     0.0000,     0.0000,     0.0000,     0.0000, 21808.9590, -18142.4844,     0.0000,     0.0000,     0.0000,     0.0000
   7.194628,   1280,  -1280,  12032,     5.0000,    -5.0000,     0.0000, 43787.4219, -36119.8438,     0.0000,     0.0000,     0.0000,     0.0000, 21808.9590, -18142.4844,     0.0000,     0.0000,     0.0000,     0.0000
   7.257156,   1280,  -1280,  12032,     5.0000,    -5.0000,     0.0000, 43787.4219, -36119.8438,     0.0000,     0.0000,     0.0000,     0.0000, 21808.9590, -18142.4844,     0.0000,     0.0000,     0.0000,     0.0000
   7.319684,   1280,  -1280,  12032,     5.0000,    -5.0000,     0.0000, 43787.4219, -36119.8438,     0.0000,     0.0000,     0.0000,     0.0000, 21808.9590, -18142.4844,     0.0000,     0.0000,     0.0000,     0.0000
   7.382212,   1280,  -1280,  12032,     5.0000,    -5.0000,     0.0000, 43787.4219, -36119.8438,     0.0000,     0.0000,     0.0000,     0.0000, 21808.9590, -18142.4844,     0.0000,     0.0000,     0.0000,     0.0000
